created_at,entry_id,field1,field2,field3
2025-02-03T09:33:13+00:00,1,607.54584,330,225.64102
2025-02-03T09:33:39+00:00,2,709.08423,330,638.24176
2025-02-03T09:34:05+00:00,3,713.11359,330,591.09888
2025-02-03T09:34:31+00:00,4,714.72528,322.10257,560.87909
2025-02-03T09:39:38+00:00,5,-100,330,0
2025-02-03T09:40:04+00:00,6,-100,330,0
2025-02-03T09:41:43+00:00,7,685.71429,120.87913,1650
2025-02-03T09:42:15+00:00,8,700.21979,114.75458,1646.77661
2025-02-03T09:42:46+00:00,9,692.16119,112.09524,1650
2025-02-03T09:43:17+00:00,10,709.08423,109.11355,1598.02197
2025-02-03T09:43:47+00:00,11,715.53113,104.43956,1580.29309
2025-02-03T09:44:18+00:00,12,-100,0,1650
2025-02-03T09:44:49+00:00,13,557.5824,99.84615,1641.94141
2025-02-03T09:45:20+00:00,14,563.22345,98.15385,1650
2025-02-03T09:45:52+00:00,15,506.00732,95.41392,1635.49451
2025-02-03T09:46:23+00:00,16,611.57507,92.83517,1583.91943
2025-02-03T09:47:43+00:00,17,639.78027,93.56044,1650
2025-02-03T09:48:17+00:00,18,601.90479,90.01466,1650
2025-02-03T09:48:51+00:00,19,583.36993,89.93407,1650
2025-02-03T09:49:25+00:00,20,597.06958,87.91941,1650
2025-02-03T09:53:05+00:00,21,508.4249,36.10256,1650
2025-02-03T09:53:43+00:00,22,643.80951,104.43956,1650
2025-02-03T09:54:21+00:00,23,630.91571,100.57143,1650
2025-02-03T09:54:59+00:00,24,620.43958,100.1685,1650
2025-02-03T09:55:37+00:00,25,569.67035,92.10989,1650
2025-02-03T09:56:15+00:00,26,577.72894,93.56044,1650
2025-02-03T09:56:53+00:00,27,572.89374,93.96337,1650
2025-02-03T09:57:31+00:00,28,558.38824,92.59341,1650
2025-02-03T09:58:09+00:00,29,557.5824,92.91575,1650
2025-02-03T09:58:47+00:00,30,548.71796,93.15751,1650
2025-02-03T09:59:25+00:00,31,545.49451,91.22344,1650
2025-02-03T10:00:03+00:00,32,550.32965,94.04396,1650
2025-02-03T10:00:41+00:00,33,538.24176,92.59341,1650
2025-02-03T10:01:19+00:00,34,542.27106,96.46154,1650
2025-02-03T10:01:57+00:00,35,545.49451,95.41392,1650
2025-02-03T10:02:35+00:00,36,550.32965,94.12454,1650
2025-02-03T10:03:13+00:00,37,530.18317,91.54579,1650
2025-02-03T10:03:51+00:00,38,540.6593,93.2381,1650
2025-02-03T10:04:30+00:00,39,545.49451,92.19048,1650
2025-02-03T10:05:08+00:00,40,533.40656,91.4652,1650
2025-02-03T10:05:48+00:00,41,540.6593,90.57875,1650
2025-02-03T10:25:22+00:00,42,405.27472,18.45421,159.15752
2025-02-03T10:26:00+00:00,43,464.90845,77.20147,64.8718
2025-02-03T11:29:23+00:00,44,493.9194,34.08791,1650
2025-02-03T12:28:20+00:00,45,609.15753,46.73993,296.15384
2025-02-03T12:29:43+00:00,46,390.76923,35.2967,333.22342
2025-02-03T12:30:21+00:00,47,509.23074,95.73627,31.42857
2025-02-03T12:30:59+00:00,48,497.94873,89.1282,23.36996
2025-02-03T12:31:37+00:00,49,489.08426,85.17949,26.19048
2025-02-03T12:32:15+00:00,50,468.13187,82.43956,33.44322
2025-02-03T12:32:53+00:00,51,479.41388,84.37363,0
2025-02-03T16:33:49+00:00,52,337.5824,31.67033,558.8645
2025-02-03T16:34:27+00:00,53,533.40656,123.21612,763.15015
2025-02-03T16:35:05+00:00,54,634.94507,103.87546,0
2025-02-03T16:35:43+00:00,55,569.67035,95.25275,1650
2025-02-03T17:18:31+00:00,56,699.41394,39.56776,586.26373
2025-02-03T17:19:09+00:00,57,741.31866,112.09524,425.09155
2025-02-03T17:19:47+00:00,58,771.13556,104.43956,434.35898
2025-02-03T17:20:25+00:00,59,684.90839,104.03663,448.86447
2025-02-03T17:21:03+00:00,60,672.82056,99.36263,780.4762
2025-02-03T17:21:41+00:00,61,713.91943,99.44322,130.14651
2025-02-03T17:22:19+00:00,62,788.86444,97.34798,19.74359
2025-02-03T17:24:35+00:00,63,800.95239,98.79854,128.93773
2025-02-03T17:25:13+00:00,64,797.72894,102.10257,162.78387
2025-02-03T17:25:51+00:00,65,780,102.66666,52.38095
2025-02-03T17:26:29+00:00,66,768.71796,104.03663,101.53847
2025-02-03T17:27:07+00:00,67,763.0769,104.11722,185.34799
2025-02-03T17:32:54+00:00,68,685.71429,62.05128,40.69597
2025-02-03T17:33:32+00:00,69,724.39557,123.69963,32.23443
2025-02-03T17:40:59+00:00,70,643.00366,76.07326,42.71062
2025-02-03T17:59:35+00:00,71,547.1062,52.7033,126.52014
2025-02-03T18:01:22+00:00,72,613.18683,107.34066,19.34066
2025-02-03T18:01:50+00:00,73,580.95239,106.93773,88.64469
2025-02-03T18:04:21+00:00,74,634.94507,121.0403,186.95972
